#{"t_start": 1773433832.6586425, "env_id": "None"}
r,l,t
5.458684,1,2.579056
6.755477,1,2.737258
7.315492,1,2.880688
22.632145,1,2.968684
2.519504,1,3.075525
49.753602,1,3.204181
4.860058,1,3.331008
7.58384,1,3.443269
8.002362,1,3.532246
2.385991,1,3.623635
6.611256,1,3.706956
5.717422,1,3.857067
5.747451,1,4.002549
7.874268,1,4.082732
7.243962,1,4.237477
8.192427,1,4.35886
6.413325,1,4.440781
6.550136,1,4.586023
2.814234,1,4.668631
6.744698,1,4.824633
7.299349,1,4.957729
1.785575,1,5.019151
51.166816,1,5.202851
6.837278,1,5.377309
22.605433,1,5.486002
5.917447,1,5.585362
22.89607,1,5.692868
2.495375,1,5.816461
4.389157,1,5.943711
3.674913,1,6.065094
1.307324,1,6.123472
7.596372,1,6.322437
5.079527,1,6.480796
1.011376,1,6.540179
7.836593,1,6.71838
7.128191,1,6.833019
1.491969,1,6.90639
5.902111,1,7.09399
5.252037,1,7.229424
6.075148,1,7.335697
6.943964,1,7.390025
3.480311,1,7.578132
7.107032,1,7.676313
25.546076,1,7.821815
2.421259,1,7.885284
5.78992,1,8.026943
1.096036,1,8.08298
6.148673,1,8.262058
4.523283,1,8.316497
1.674941,1,8.454086
3.803703,1,8.620932
5.948798,1,8.710738
21.33115,1,8.846193
5.334025,1,9.012106
5.399632,1,9.157749
24.90081,1,9.263287
1.349461,1,9.310985
20.033171,1,9.481519
8.067146,1,9.600959
6.425216,1,9.767666
5.160838,1,9.852976
2.017314,1,9.94927
1.370838,1,10.063993
2.974123,1,10.206251
2.796182,1,10.261609
32.742551,1,10.437434
20.19033,1,10.549674
6.587554,1,10.686948
7.316354,1,10.778648
25.276991,1,10.886937
6.396678,1,11.022063
7.242227,1,11.138011
6.60559,1,11.299638
7.879231,1,11.419906
7.126776,1,11.495385
7.841321,1,11.610647
6.152716,1,11.783603
6.263566,1,11.902959
5.493954,1,12.024848
2.886073,1,12.074958
6.566904,1,12.257808
6.318834,1,12.373595
1.791028,1,12.406735
20.191661,1,12.590402
4.550457,1,12.697656
7.014312,1,12.82444
7.6632,1,12.952889
7.276105,1,13.048262
2.123689,1,13.15474
5.092899,1,13.267006
1.081606,1,13.375829
43.080133,1,13.521633
4.238081,1,13.634445
25.053043,1,13.777248
7.174295,1,13.921062
6.116884,1,13.988424
2.626898,1,14.111047
6.908314,1,14.279226
4.586841,1,14.399728
6.734095,1,14.547059
2.079164,1,14.624396
8.112207,1,14.758427
5.338822,1,14.86199
7.933627,1,15.018157
6.737242,1,15.109896
7.017859,1,15.246536
5.510473,1,15.327935
1.347942,1,15.406439
6.378927,1,15.565977
1.053681,1,15.656494
2.311457,1,15.762151
6.800241,1,15.969124
52.929581,1,16.051109
3.279099,1,16.163345
7.746538,1,16.243949
7.452996,1,16.399715
6.768143,1,16.530225
5.992668,1,16.616674
5.591328,1,16.729042
5.463923,1,16.888981
2.622344,1,16.997264
7.801895,1,17.119231
3.212466,1,17.308347
6.577264,1,17.451249
46.799175,1,17.558031
6.123783,1,17.640162
4.728593,1,17.827192
5.942024,1,17.937253
51.798286,1,18.058318
0.891621,1,18.111875
34.221397,1,18.266654
20.042825,1,18.356907
2.708285,1,18.491547
6.532754,1,18.671172
5.279347,1,18.727379
1.467427,1,18.828287
5.189208,1,19.011965
7.696155,1,19.113365
3.601537,1,19.224238
8.054674,1,19.343575
6.789614,1,19.505881
5.903242,1,19.604432
20.197379,1,19.705815
5.47001,1,19.813535
7.077494,1,19.918478
6.158602,1,19.97265
1.515353,1,20.135201
5.905868,1,20.298522
8.041229,1,20.388848
5.515667,1,20.516667
4.890587,1,20.606748
7.857954,1,20.704428
6.690514,1,20.88429
7.202437,1,20.944463
2.151418,1,21.078832
3.594304,1,21.268143
6.098988,1,21.305086
8.250343,1,21.475633
5.883391,1,21.636229
5.626335,1,21.736155
6.881265,1,21.82933
3.972566,1,21.936692
5.537693,1,22.091047
4.506758,1,22.154924
6.427103,1,22.307198
5.238149,1,22.446502
27.466983,1,22.576829
1.203923,1,22.628332
2.104773,1,22.73896
5.644953,1,22.931583
6.70029,1,23.025719
4.417737,1,23.194743
20.238493,1,23.27862
1.389414,1,23.326145
4.407664,1,23.551206
20.053683,1,23.658807
8.280465,1,23.792557
6.738057,1,23.949228
5.32512,1,24.05051
7.916853,1,24.135439
8.041879,1,24.278018
5.768747,1,24.394101
6.973988,1,24.4895
7.906188,1,24.601574
56.299335,1,24.720485
7.438925,1,24.873986
20.002494,1,24.999982
7.845412,1,25.115718
27.859222,1,25.231812
6.045028,1,25.342566
6.849666,1,25.446062
5.091233,1,25.585065
8.241056,1,25.69227
7.616961,1,25.848491
4.718219,1,25.949104
6.678934,1,26.055321
77.529538,1,26.199492
2.205815,1,26.264017
5.521861,1,26.452307
5.440065,1,26.576257
21.518199,1,26.678038
23.677855,1,26.797092
54.823614,1,26.921375
6.349981,1,27.035966
24.290089,1,27.112712
20.167223,1,27.274838
8.66979,1,27.356084
2.969862,1,27.540837
6.862492,1,27.664814
3.084028,1,27.760921
7.918942,1,27.917076
0.804346,1,27.994287
8.589685,1,28.150101
4.213311,1,28.267479
7.629042,1,28.43803
5.513487,1,28.547066
3.329125,1,28.667709
20.912394,1,28.766925
4.494771,1,28.847619
7.137132,1,28.982637
6.900063,1,29.101634
7.932577,1,29.263572
7.973048,1,29.365957
0.733,1,29.417559
5.229377,1,29.620829
3.637315,1,29.685941
7.223117,1,29.82842
7.317631,1,29.972822
5.514704,1,30.040781
1.789753,1,30.187368
6.754358,1,30.367227
3.773445,1,30.428007
1.964026,1,30.572555
6.604232,1,30.757725
1.870437,1,30.788998
8.280806,1,30.960758
2.142168,1,31.048299
6.10723,1,31.168805
5.173017,1,31.342304
3.741937,1,31.449431
2.368165,1,31.525318
0.571457,1,31.689671
2.833842,1,31.801257
0.57432,1,31.889856
0.897144,1,32.016133
6.680939,1,32.185625
4.961924,1,32.301447
8.365672,1,32.428106
5.41434,1,32.55617
6.64485,1,32.699242
4.1207,1,32.782591
6.747276,1,32.929465
3.902453,1,33.005548
5.570327,1,33.188826
6.286527,1,33.28705
2.497716,1,33.371187
7.74621,1,33.503961
30.946398,1,33.620576
4.548682,1,33.73971
6.98086,1,33.884795
4.77795,1,34.006499
6.755378,1,34.106077
0.68627,1,34.187585
4.790879,1,34.361168
1.736907,1,34.414219
7.342461,1,34.618335
8.495181,1,34.719248
4.253297,1,34.879129
4.218185,1,34.985527
2.426548,1,35.047596
