#{"t_start": 1773433831.027299, "env_id": "None"}
r,l,t
7.79937,1,4.262641
1.516423,1,4.365909
5.655761,1,4.48914
1.028188,1,4.60321
2.340642,1,4.693559
7.905404,1,4.842463
8.401068,1,4.951308
7.792422,1,5.022218
6.6328,1,5.157805
5.25655,1,5.269389
2.837688,1,5.332175
7.560553,1,5.492132
55.799361,1,5.616819
0.622125,1,5.699712
1.748205,1,5.83538
4.92055,1,6.01586
7.303415,1,6.066323
5.758666,1,6.226774
8.55892,1,6.336487
39.767826,1,6.435596
7.699758,1,6.579485
3.300663,1,6.658535
5.538375,1,6.851453
26.330763,1,6.967428
7.421059,1,7.101612
1.394123,1,7.176317
20.519982,1,7.313038
1.273823,1,7.408976
1.165344,1,7.556967
6.661827,1,7.698319
7.872278,1,7.764563
6.056997,1,7.919611
6.808267,1,8.077701
2.46563,1,8.192268
4.43924,1,8.362264
24.761221,1,8.483743
5.158717,1,8.598695
8.06262,1,8.71068
5.47686,1,8.848532
7.410192,1,8.981384
6.129199,1,9.06023
4.665767,1,9.184593
5.577855,1,9.339551
4.29191,1,9.413903
46.792584,1,9.553724
2.658067,1,9.586834
7.625838,1,9.75667
7.703309,1,9.895285
6.879518,1,10.008765
3.014388,1,10.118214
0.930148,1,10.183949
7.438868,1,10.387649
0.879915,1,10.475047
6.188511,1,10.639295
7.009714,1,10.741079
4.920312,1,10.913472
5.913865,1,11.021742
5.420736,1,11.062526
4.623681,1,11.269133
5.295845,1,11.309542
3.392037,1,11.460499
7.649281,1,11.571436
1.257735,1,11.683992
8.697537,1,11.809972
7.743339,1,11.887515
1.684825,1,11.979412
5.500779,1,12.164904
6.205667,1,12.327467
7.80619,1,12.386224
7.822325,1,12.510089
5.028716,1,12.611768
28.787131,1,12.75128
6.743489,1,12.928214
20.253665,1,13.000424
7.088142,1,13.099129
2.49553,1,13.248323
51.284745,1,13.383072
1.335201,1,13.486709
2.15774,1,13.587629
6.108431,1,13.748847
6.786978,1,13.843208
6.062672,1,13.994823
1.609698,1,14.048444
6.710353,1,14.216704
5.580274,1,14.347131
4.748873,1,14.509046
6.745679,1,14.563632
3.757473,1,14.646609
5.142843,1,14.781638
7.498794,1,14.926539
6.839661,1,15.040578
7.380233,1,15.171163
6.047493,1,15.26443
5.386854,1,15.419563
5.839994,1,15.587704
5.269412,1,15.65579
6.862057,1,15.778861
4.353885,1,15.890203
7.333151,1,15.982657
4.023491,1,16.114332
3.467695,1,16.290473
6.508898,1,16.342527
4.082435,1,16.472075
0.920076,1,16.591967
4.079731,1,16.714319
7.432811,1,16.883599
7.141425,1,16.958902
1.620232,1,17.043879
6.837452,1,17.194765
2.279951,1,17.270165
5.685073,1,17.417774
7.753233,1,17.572741
2.938533,1,17.628137
2.498024,1,17.761963
1.045046,1,17.85632
6.298117,1,17.995647
7.424607,1,18.170778
2.823217,1,18.261423
20.092266,1,18.376896
7.871291,1,18.544477
3.424488,1,18.63198
4.364075,1,18.749733
3.332566,1,18.854683
6.267819,1,19.097825
7.587493,1,19.134858
6.955519,1,19.264188
7.057769,1,19.383252
6.017777,1,19.554399
1.154366,1,19.626225
5.270723,1,19.798792
6.186236,1,19.862182
2.436926,1,20.006695
8.293947,1,20.145431
2.269366,1,20.233731
2.007785,1,20.38053
7.827245,1,20.487926
4.603044,1,20.599611
5.3197,1,20.75759
8.427317,1,20.8626
5.722314,1,20.968333
22.867671,1,21.095193
6.886153,1,21.197479
5.88286,1,21.313807
0.692774,1,21.434239
7.227166,1,21.564275
2.036162,1,21.667156
1.171686,1,21.734172
5.970346,1,21.852576
7.248464,1,21.999625
1.460481,1,22.108864
7.231712,1,22.215305
6.937675,1,22.376927
4.70649,1,22.498917
6.259734,1,22.643047
6.69672,1,22.72668
5.458003,1,22.802255
3.679755,1,22.957318
6.932364,1,23.124921
0.807239,1,23.18913
5.166132,1,23.384896
1.077484,1,23.446607
0.934921,1,23.542581
5.629766,1,23.688198
6.922246,1,23.853287
4.557456,1,23.986015
6.95974,1,24.012457
3.448353,1,24.186683
7.328321,1,24.270304
7.262147,1,24.389524
5.227485,1,24.520724
7.085912,1,24.66938
6.469514,1,24.812567
2.225133,1,24.891327
2.933833,1,24.958256
1.749203,1,25.124804
6.919935,1,25.300678
3.635526,1,25.443336
3.387155,1,25.583272
4.886561,1,25.667768
6.304393,1,25.767998
1.778922,1,25.816252
6.898966,1,25.977461
1.012902,1,26.10195
7.099316,1,26.211072
7.071607,1,26.355567
7.023366,1,26.493878
4.800223,1,26.583151
4.179604,1,26.746039
4.607383,1,26.856222
6.114527,1,26.973325
6.921954,1,27.078389
3.143627,1,27.195332
5.924011,1,27.345392
3.49866,1,27.413217
6.467449,1,27.523201
0.968764,1,27.655291
7.098003,1,27.784789
7.143722,1,27.901211
5.265588,1,28.044256
22.227282,1,28.189272
49.26353,1,28.347806
6.330105,1,28.441509
0.651476,1,28.489803
5.125017,1,28.687903
6.892253,1,28.788623
4.253563,1,28.869751
5.528809,1,29.009024
1.512339,1,29.079684
1.96732,1,29.251256
22.626543,1,29.405344
7.292241,1,29.55043
7.010344,1,29.646084
6.332985,1,29.791263
5.124926,1,29.855701
5.790384,1,30.00487
7.774852,1,30.154352
4.81494,1,30.296772
8.707557,1,30.398162
6.27751,1,30.474951
75.983986,1,30.604522
1.199655,1,30.692719
6.501099,1,30.845785
5.99034,1,30.929726
2.811072,1,31.036917
6.824496,1,31.243209
5.383382,1,31.313854
6.961718,1,31.473869
1.98468,1,31.534314
1.342072,1,31.688206
6.462451,1,31.885384
22.041257,1,31.957041
28.364845,1,32.081586
1.355268,1,32.197781
